127.0.0.1 - - [03/May/2023:15:55:21 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/May/2023:15:55:23 +0900] "GET /jspMiniProject/ HTTP/1.1" 200 7535
0:0:0:0:0:0:0:1 - - [03/May/2023:15:55:23 +0900] "GET /jspMiniProject/js/function.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [03/May/2023:15:55:23 +0900] "GET /jspMiniProject/menu/css/menu.css HTTP/1.1" 200 3760
0:0:0:0:0:0:0:1 - - [03/May/2023:15:55:23 +0900] "GET /jspMiniProject/js/jquery.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [03/May/2023:15:55:23 +0900] "GET /jspMiniProject/menu/css/font-awesome.css HTTP/1.1" 200 15825
0:0:0:0:0:0:0:1 - - [03/May/2023:15:55:23 +0900] "GET /image/banner-01.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [03/May/2023:15:55:23 +0900] "GET /image/banner-02.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [03/May/2023:15:55:23 +0900] "GET /image/banner-03.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [03/May/2023:15:55:23 +0900] "GET /image/banner-04.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [03/May/2023:15:55:23 +0900] "GET /jspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [03/May/2023:15:55:23 +0900] "GET /jspMiniProject/menu/images/plus-gray.png HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [03/May/2023:15:55:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/May/2023:15:55:26 +0900] "GET /jspMiniProject/menu/font/fontawesome-webfont.woff?v=3.0.1 HTTP/1.1" 200 43572
0:0:0:0:0:0:0:1 - - [03/May/2023:15:55:32 +0900] "GET /jspMiniProject/index.jsp?main=board/boardlist.jsp HTTP/1.1" 200 11820
0:0:0:0:0:0:0:1 - - [03/May/2023:15:55:32 +0900] "GET /jspMiniProject/js/jquery.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [03/May/2023:15:55:32 +0900] "GET /jspMiniProject/js/function.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [03/May/2023:15:55:32 +0900] "GET /jspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [03/May/2023:15:55:36 +0900] "GET /jspMiniProject/index.jsp?main=board/detailview.jsp?num=5&currentPage=1 HTTP/1.1" 500 3401
0:0:0:0:0:0:0:1 - - [03/May/2023:15:55:44 +0900] "GET /jspMiniProject/index.jsp?main=board/detailview.jsp?num=4&currentPage=1 HTTP/1.1" 500 3401
0:0:0:0:0:0:0:1 - - [03/May/2023:15:57:59 +0900] "GET /jspMiniProject/board/detailview.jsp HTTP/1.1" 200 7190
0:0:0:0:0:0:0:1 - - [03/May/2023:15:57:59 +0900] "GET /jspMiniProject/board/save/11.png HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [03/May/2023:15:57:59 +0900] "GET /jspMiniProject/board/save/07.png HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [03/May/2023:15:58:05 +0900] "GET /jspMiniProject/index.jsp?main=board/detailview.jsp?num=5&currentPage=1 HTTP/1.1" 200 14014
0:0:0:0:0:0:0:1 - - [03/May/2023:15:58:05 +0900] "GET /jspMiniProject/js/function.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [03/May/2023:15:58:05 +0900] "GET /jspMiniProject/js/jquery.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [03/May/2023:15:58:05 +0900] "GET /jspMiniProject/save/11.png HTTP/1.1" 200 28064
0:0:0:0:0:0:0:1 - - [03/May/2023:15:58:05 +0900] "GET /jspMiniProject/save/07.png HTTP/1.1" 200 21228
0:0:0:0:0:0:0:1 - - [03/May/2023:15:58:05 +0900] "GET /jspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [03/May/2023:15:58:12 +0900] "GET /jspMiniProject/guest/ajaxlikechu.jsp?num=6 HTTP/1.1" 200 19
